operation,operand_1,operand_2,correct_result
DIV,156,338,0.46153846153846156
MUL,715,851,608465
MUL,33,812,26796
MUL,570,968,551760
SUM,240,902,1142
POW,453,7,3914600201218781037
DIV,412,874,0.47139588100686497
POW,241,8,11379844838561358721
POW,284,1,284
DIV,17,436,0.0389908256880734
DIV,683,657,1.0395738203957383
SUM,71,477,548
SUM,104,1000,1104
DIV,268,602,0.44518272425249167
SUB,616,43,573
SUB,652,708,-56
POW,426,9,462047252296310925912576
SUB,270,652,-382
SUM,382,890,1272
DIV,641,99,6.474747474747475
SUB,896,252,644
MUL,548,377,206596
SUM,284,158,442
SUB,316,293,23
DIV,995,427,2.330210772833724
MUL,635,353,224155
MUL,194,83,16102
MUL,952,613,583576
MUL,780,467,364260
SUM,246,707,953
MUL,707,188,132916
POW,398,9,250580717628964127641088
SUM,529,729,1258
POW,56,7,1727094849536
MUL,472,608,286976
MUL,752,904,679808
MUL,859,735,631365
MUL,421,171,71991
MUL,218,727,158486
POW,943,1,943
POW,921,2,848241
POW,814,3,539353144
DIV,869,255,3.407843137254902
POW,376,6,2825706623205376
SUB,320,119,201
MUL,862,311,268082
SUM,889,346,1235
SUB,79,552,-473
POW,376,9,150207149435418497253376
MUL,787,420,330540
DIV,964,371,2.5983827493261455
POW,606,4,134862279696
DIV,393,694,0.5662824207492796
POW,772,3,460099648
POW,82,10,13744803133596058624
POW,463,6,9851127637605409
SUB,426,869,-443
MUL,752,116,87232
DIV,228,936,0.24358974358974358
DIV,332,403,0.8238213399503722
DIV,872,527,1.6546489563567361
SUM,884,536,1420
SUB,210,486,-276
SUM,651,334,985
MUL,980,515,504700
POW,175,2,30625
MUL,240,944,226560
DIV,879,954,0.9213836477987422
SUB,494,868,-374
MUL,751,376,282376
DIV,389,726,0.5358126721763086
SUB,414,654,-240
MUL,320,812,259840
SUM,14,496,510
POW,358,3,45882712
SUB,557,370,187
MUL,943,351,330993
SUM,972,854,1826
SUM,217,756,973
POW,197,3,7645373
DIV,375,927,0.4045307443365696
SUB,249,825,-576
MUL,534,53,28302
DIV,673,470,1.4319148936170212
POW,935,2,874225
MUL,884,559,494156
DIV,689,647,1.0649149922720247
MUL,305,620,189100
SUM,450,176,626
